sku,category,grossValue,maker,name,quantity,highPrecisionQuantity,branchName
SKU85130,Automotive,384.39,BrandA,Headphones,24,859,Main Warehouse
SKU57145,Toys,869.65,BrandE,Wireless Earbuds,71,995,North Branch
SKU83437,Automotive,258.2,BrandC,Running Shoes,6,411,Secondary Warehouse
SKU83912,Clothing,410.16,BrandA,Desk Lamp,77,339,South Branch
SKU10601,Sports,193.43,BrandA,Desk Lamp,78,736,Main Warehouse
SKU63390,Clothing,333.9,BrandE,Wireless Earbuds,3,960,Secondary Warehouse
SKU56222,Toys,963.72,BrandB,Running Shoes,8,104,Central Depot
SKU48716,Toys,714.73,BrandB,Laptop,47,92,South Branch
SKU30095,Clothing,672.54,BrandB,Tablet,30,770,Main Warehouse
SKU26031,Sports,366.49,BrandA,Headphones,36,752,Main Warehouse
SKU48273,Clothing,622.04,BrandA,Wireless Earbuds,68,950,Central Depot
SKU47516,Kitchen,306.42,BrandD,Smartphone,68,473,Main Warehouse
SKU58437,Furniture,726.45,BrandD,Headphones,33,874,North Branch
SKU48989,Automotive,156.5,BrandE,Desk Lamp,21,856,Secondary Warehouse
SKU81824,Electronics,100.38,BrandB,Office Chair,57,447,Secondary Warehouse
SKU14519,Toys,83.11,BrandC,Blender,1,11,North Branch
SKU92148,Electronics,469.21,BrandC,Wireless Earbuds,45,193,North Branch
SKU69633,Kitchen,750.53,BrandA,Office Chair,95,548,Secondary Warehouse
SKU18223,Kitchen,114.07,BrandC,Gaming Console,36,354,Main Warehouse
SKU49814,Kitchen,547.47,BrandA,Headphones,52,982,Central Depot
SKU65206,Clothing,149.5,BrandA,Desk Lamp,93,46,South Branch
SKU85560,Automotive,577.58,BrandC,Headphones,80,783,Central Depot
SKU90757,Beauty,977.16,BrandA,Headphones,38,720,North Branch
SKU90331,Sports,324.16,BrandD,Laptop,40,382,Secondary Warehouse
SKU23613,Furniture,125.31,BrandA,Desk Lamp,40,282,Main Warehouse
SKU64528,Electronics,912.89,BrandA,Headphones,53,731,South Branch
SKU49688,Furniture,870.68,BrandC,Blender,23,61,Secondary Warehouse
SKU79187,Beauty,112.13,BrandB,Desk Lamp,92,73,South Branch
SKU61198,Sports,186.03,BrandC,Gaming Console,85,484,South Branch
SKU81864,Kitchen,371.75,BrandC,Desk Lamp,3,496,Main Warehouse
SKU40861,Electronics,898.19,BrandA,Office Chair,97,443,Main Warehouse
SKU21871,Electronics,165.48,BrandA,Smartphone,95,752,Main Warehouse
SKU39522,Toys,944.14,BrandD,Laptop,47,513,North Branch
SKU12630,Beauty,695.61,BrandC,Office Chair,87,269,Main Warehouse
SKU90273,Beauty,631.56,BrandE,Gaming Console,36,592,Secondary Warehouse
SKU58854,Toys,299.4,BrandD,Tablet,87,804,North Branch
SKU39530,Sports,488,BrandB,Blender,30,328,Secondary Warehouse
SKU37796,Beauty,200.23,BrandC,Blender,74,200,Central Depot
SKU50162,Toys,12.32,BrandB,Tablet,5,713,Central Depot
SKU66105,Automotive,543.83,BrandB,Desk Lamp,7,299,Main Warehouse
SKU68183,Automotive,319.68,BrandE,Gaming Console,7,298,North Branch
SKU36052,Sports,279.1,BrandE,Smartphone,23,264,Central Depot
SKU57311,Kitchen,373.23,BrandB,Desk Lamp,97,102,Main Warehouse
SKU78127,Kitchen,63.27,BrandE,Laptop,32,499,Main Warehouse
SKU64971,Toys,122.64,BrandD,Tablet,96,896,Secondary Warehouse
SKU34731,Sports,674.61,BrandE,Laptop,19,499,Secondary Warehouse
SKU21235,Automotive,357.58,BrandA,Running Shoes,2,590,Central Depot
SKU52715,Furniture,202.95,BrandD,Gaming Console,43,525,Main Warehouse
SKU49437,Toys,343.49,BrandB,Gaming Console,17,993,Secondary Warehouse
SKU27620,Sports,875.03,BrandE,Gaming Console,25,588,South Branch
SKU67376,Electronics,200.92,BrandD,Laptop,73,563,South Branch
SKU91227,Sports,128.11,BrandD,Office Chair,40,195,Secondary Warehouse
SKU53845,Electronics,647.05,BrandA,Blender,32,706,Secondary Warehouse
SKU41231,Furniture,922.36,BrandD,Gaming Console,21,341,South Branch
SKU86327,Sports,873.49,BrandC,Blender,90,144,Main Warehouse
SKU58526,Sports,284.1,BrandD,Office Chair,42,459,Secondary Warehouse
SKU40851,Sports,829.74,BrandB,Tablet,64,345,South Branch
SKU36330,Automotive,354.43,BrandB,Laptop,77,42,Main Warehouse
SKU10185,Automotive,987.55,BrandE,Gaming Console,2,55,North Branch
SKU78674,Beauty,538.98,BrandB,Headphones,61,534,Central Depot
SKU74349,Beauty,790.4,BrandB,Running Shoes,54,253,North Branch
SKU40976,Sports,39.57,BrandC,Wireless Earbuds,46,120,South Branch
SKU19851,Electronics,351.88,BrandC,Running Shoes,84,170,South Branch
SKU84658,Kitchen,567.07,BrandE,Tablet,99,198,North Branch
SKU84802,Toys,130.67,BrandA,Blender,21,433,Main Warehouse
SKU91216,Toys,529.3,BrandD,Blender,10,307,South Branch
SKU43720,Clothing,830.13,BrandB,Laptop,42,176,South Branch
SKU32544,Toys,907.51,BrandC,Blender,46,909,Main Warehouse
SKU36109,Automotive,942.34,BrandA,Tablet,7,542,North Branch
SKU50269,Kitchen,871.05,BrandA,Laptop,72,38,Secondary Warehouse
SKU52336,Furniture,713.55,BrandE,Blender,89,719,Central Depot
SKU98965,Furniture,165.22,BrandC,Desk Lamp,82,277,Secondary Warehouse
SKU42448,Toys,416.42,BrandB,Blender,79,982,Secondary Warehouse
SKU99897,Furniture,88.52,BrandE,Office Chair,74,235,South Branch
SKU49676,Kitchen,220.1,BrandD,Office Chair,21,443,Central Depot
SKU36565,Kitchen,745.41,BrandC,Gaming Console,29,482,Secondary Warehouse
SKU99778,Sports,360.58,BrandB,Wireless Earbuds,77,438,South Branch
SKU32273,Sports,755.55,BrandB,Wireless Earbuds,56,123,Central Depot
SKU87838,Electronics,919.06,BrandB,Office Chair,38,739,Central Depot
SKU51698,Kitchen,485.84,BrandA,Tablet,59,206,Secondary Warehouse
SKU27929,Clothing,744.01,BrandC,Desk Lamp,75,616,South Branch
SKU14187,Beauty,260.11,BrandE,Tablet,100,524,Secondary Warehouse
SKU60259,Beauty,848.38,BrandE,Smartphone,23,336,South Branch
SKU36148,Beauty,234.33,BrandB,Office Chair,92,101,Main Warehouse
SKU68570,Toys,241.43,BrandE,Headphones,39,960,South Branch
SKU78850,Clothing,827.81,BrandC,Smartphone,95,861,North Branch
SKU97359,Toys,439.81,BrandD,Wireless Earbuds,78,77,South Branch
SKU17730,Toys,272.85,BrandE,Tablet,60,788,Secondary Warehouse
SKU21267,Toys,596.91,BrandD,Desk Lamp,88,124,Main Warehouse
SKU12631,Kitchen,37.19,BrandA,Blender,95,397,Central Depot
SKU26564,Kitchen,889.32,BrandE,Office Chair,26,594,Central Depot
SKU86322,Kitchen,158.95,BrandD,Tablet,50,893,South Branch
SKU17148,Toys,928.09,BrandC,Running Shoes,35,765,Central Depot
SKU88893,Automotive,412.23,BrandE,Laptop,36,759,Main Warehouse
SKU65611,Kitchen,929.06,BrandC,Desk Lamp,89,665,South Branch
SKU82378,Electronics,62.63,BrandD,Blender,38,191,Main Warehouse
SKU81825,Sports,189.81,BrandA,Running Shoes,66,924,North Branch
SKU17286,Kitchen,330.18,BrandE,Gaming Console,35,682,North Branch
SKU20078,Toys,29.69,BrandD,Office Chair,29,244,North Branch
SKU49637,Beauty,635.82,BrandB,Office Chair,22,631,Main Warehouse
SKU36382,Beauty,867.8,BrandA,Smartphone,37,77,Main Warehouse
SKU42246,Kitchen,274.93,BrandB,Blender,94,345,North Branch
SKU85386,Toys,674.9,BrandC,Headphones,74,534,Secondary Warehouse
SKU70181,Kitchen,697.62,BrandA,Laptop,71,651,Main Warehouse
SKU23045,Clothing,595.61,BrandE,Laptop,68,72,South Branch
SKU69888,Furniture,452.52,BrandA,Gaming Console,40,985,Central Depot
SKU24724,Automotive,658.17,BrandB,Headphones,65,867,North Branch
SKU27169,Electronics,842.23,BrandB,Desk Lamp,39,299,Main Warehouse
SKU82871,Electronics,938.53,BrandD,Wireless Earbuds,36,145,Main Warehouse
SKU32443,Automotive,63.08,BrandE,Wireless Earbuds,43,194,Secondary Warehouse
SKU97266,Electronics,325.36,BrandA,Smartphone,65,213,North Branch
SKU25315,Furniture,111.83,BrandD,Blender,39,458,South Branch
SKU56177,Electronics,361.99,BrandA,Tablet,65,335,Main Warehouse
SKU28905,Sports,876.17,BrandB,Wireless Earbuds,88,348,Central Depot
SKU71401,Sports,593.82,BrandA,Office Chair,70,227,South Branch
SKU95432,Automotive,426.84,BrandA,Wireless Earbuds,9,139,Secondary Warehouse
SKU37433,Automotive,453.34,BrandA,Tablet,30,43,South Branch
SKU56506,Clothing,902,BrandA,Gaming Console,83,264,Secondary Warehouse
SKU27512,Clothing,428.42,BrandA,Running Shoes,16,628,Central Depot
SKU46596,Clothing,402.94,BrandC,Running Shoes,80,214,Main Warehouse
SKU59253,Automotive,376.39,BrandA,Smartphone,3,963,North Branch
SKU56740,Toys,579.12,BrandA,Desk Lamp,72,545,Main Warehouse
SKU55224,Sports,474.51,BrandB,Blender,19,558,North Branch
SKU95827,Toys,597.84,BrandD,Running Shoes,27,386,Central Depot
SKU53717,Kitchen,303.2,BrandC,Laptop,38,131,North Branch
SKU24510,Sports,563,BrandB,Running Shoes,85,386,Secondary Warehouse
SKU64642,Kitchen,655.21,BrandB,Blender,39,348,Main Warehouse
SKU77978,Beauty,299.52,BrandD,Running Shoes,9,358,Secondary Warehouse
SKU41095,Clothing,386.09,BrandC,Tablet,66,10,North Branch
SKU61294,Furniture,820.05,BrandE,Headphones,54,895,Secondary Warehouse
SKU39159,Beauty,443.74,BrandB,Running Shoes,3,810,Secondary Warehouse
SKU78266,Clothing,770,BrandC,Gaming Console,13,702,Central Depot
SKU22802,Kitchen,477.31,BrandD,Gaming Console,97,256,Main Warehouse
SKU65684,Automotive,930.02,BrandA,Blender,43,113,Secondary Warehouse
SKU80357,Kitchen,222.04,BrandD,Blender,56,949,Main Warehouse
SKU43534,Automotive,208.28,BrandD,Office Chair,40,466,Central Depot
SKU49763,Furniture,566.08,BrandE,Tablet,42,156,Secondary Warehouse
SKU68513,Furniture,507.38,BrandA,Smartphone,57,79,South Branch
SKU63233,Sports,512.78,BrandE,Office Chair,49,211,Main Warehouse
SKU27724,Toys,985.57,BrandD,Laptop,31,400,South Branch
SKU66753,Automotive,925.31,BrandC,Desk Lamp,18,154,Central Depot
SKU89425,Sports,753.74,BrandB,Office Chair,51,725,North Branch
SKU14319,Furniture,669.19,BrandC,Laptop,5,513,South Branch
SKU21215,Toys,360.39,BrandB,Blender,50,456,Central Depot
SKU63938,Beauty,845.12,BrandC,Gaming Console,98,233,Main Warehouse
SKU40407,Toys,934.04,BrandE,Wireless Earbuds,17,150,Main Warehouse
SKU51197,Kitchen,486.61,BrandD,Running Shoes,53,398,Central Depot
SKU78910,Electronics,485.77,BrandA,Laptop,57,994,Main Warehouse
SKU79375,Automotive,167.6,BrandE,Smartphone,69,814,Secondary Warehouse
SKU38146,Kitchen,406.13,BrandB,Smartphone,35,591,Central Depot
SKU77176,Kitchen,664.08,BrandD,Desk Lamp,42,352,Secondary Warehouse
SKU60259,Electronics,813.82,BrandB,Headphones,17,85,Main Warehouse
SKU23188,Electronics,609.06,BrandE,Wireless Earbuds,85,659,Secondary Warehouse
SKU61377,Toys,293.76,BrandC,Desk Lamp,73,681,South Branch
SKU52300,Clothing,343.38,BrandA,Wireless Earbuds,5,586,Main Warehouse
SKU57628,Automotive,869,BrandA,Desk Lamp,55,598,North Branch
SKU73719,Sports,902.51,BrandA,Gaming Console,31,704,North Branch
SKU31044,Kitchen,371.31,BrandE,Smartphone,18,998,South Branch
SKU60144,Automotive,27.16,BrandC,Headphones,61,6,North Branch
SKU42127,Beauty,262.22,BrandA,Desk Lamp,59,722,North Branch
SKU68766,Electronics,136.4,BrandA,Desk Lamp,39,767,Central Depot
SKU81521,Electronics,730.32,BrandB,Blender,8,628,Main Warehouse
SKU31430,Sports,918.66,BrandA,Gaming Console,27,994,South Branch
SKU90290,Sports,174.2,BrandC,Wireless Earbuds,17,515,South Branch
SKU22720,Kitchen,40.03,BrandE,Smartphone,89,896,Main Warehouse
SKU34750,Automotive,756.21,BrandD,Laptop,65,420,South Branch
SKU98838,Beauty,846.6,BrandB,Tablet,95,616,Main Warehouse
SKU64009,Automotive,289.86,BrandA,Laptop,88,502,North Branch
SKU83804,Automotive,602.91,BrandC,Gaming Console,84,643,South Branch
SKU49484,Sports,960.54,BrandC,Tablet,55,995,Secondary Warehouse
SKU35433,Kitchen,354.49,BrandC,Smartphone,19,812,Secondary Warehouse
SKU40312,Automotive,800.06,BrandD,Headphones,33,240,Central Depot
SKU35265,Furniture,628.77,BrandB,Desk Lamp,15,708,South Branch
SKU62775,Sports,783.66,BrandE,Office Chair,49,971,Main Warehouse
SKU26362,Electronics,636.52,BrandA,Smartphone,34,178,South Branch
SKU63530,Beauty,34.53,BrandE,Wireless Earbuds,22,961,South Branch
SKU13100,Sports,906.54,BrandA,Office Chair,89,716,Secondary Warehouse
SKU51390,Automotive,594.93,BrandB,Tablet,51,605,Main Warehouse
SKU43455,Beauty,893.98,BrandC,Office Chair,22,210,Central Depot
SKU78430,Beauty,483.23,BrandB,Running Shoes,35,225,Main Warehouse
SKU91832,Sports,365.91,BrandC,Tablet,60,166,North Branch
SKU28708,Toys,478.61,BrandC,Wireless Earbuds,51,76,North Branch
SKU99135,Toys,45.29,BrandE,Gaming Console,81,727,Main Warehouse
SKU76805,Automotive,66.59,BrandB,Blender,50,278,Secondary Warehouse
SKU46978,Sports,26.14,BrandA,Office Chair,83,208,North Branch
SKU75266,Electronics,899.25,BrandC,Smartphone,15,294,North Branch
SKU89737,Toys,247.32,BrandC,Headphones,64,494,South Branch
SKU94919,Beauty,593.19,BrandD,Wireless Earbuds,48,108,Central Depot
SKU66678,Kitchen,958.67,BrandE,Blender,62,55,North Branch
SKU82480,Automotive,836.56,BrandB,Office Chair,54,23,Secondary Warehouse
SKU91666,Kitchen,577.06,BrandC,Wireless Earbuds,26,48,South Branch
SKU90953,Automotive,848.73,BrandC,Laptop,35,896,South Branch
SKU29608,Toys,993.95,BrandD,Headphones,78,373,Main Warehouse
SKU98682,Clothing,919.55,BrandA,Running Shoes,70,55,Secondary Warehouse
SKU92824,Furniture,967.92,BrandC,Running Shoes,7,748,Secondary Warehouse
SKU67622,Electronics,760.74,BrandC,Office Chair,35,840,South Branch
SKU89335,Sports,440.49,BrandE,Smartphone,69,171,Secondary Warehouse
SKU21579,Sports,43.16,BrandB,Gaming Console,21,315,North Branch
SKU94992,Clothing,458.09,BrandD,Office Chair,91,378,North Branch
SKU37407,Furniture,756.84,BrandA,Wireless Earbuds,90,62,Secondary Warehouse
SKU84280,Toys,402.16,BrandE,Tablet,35,481,Main Warehouse
SKU44045,Automotive,423.23,BrandB,Office Chair,93,989,North Branch
SKU42649,Kitchen,499.3,BrandD,Smartphone,98,869,Main Warehouse
SKU21061,Kitchen,195.5,BrandB,Wireless Earbuds,17,921,North Branch
SKU50120,Toys,584.1,BrandB,Wireless Earbuds,79,790,North Branch
SKU85529,Kitchen,994.54,BrandD,Desk Lamp,45,310,South Branch
SKU27981,Beauty,80.95,BrandD,Gaming Console,35,884,Central Depot
SKU94847,Electronics,576.51,BrandB,Smartphone,30,548,South Branch
SKU48505,Clothing,997.86,BrandE,Laptop,38,332,Secondary Warehouse
SKU49534,Clothing,456.6,BrandA,Desk Lamp,91,382,Main Warehouse
SKU32956,Electronics,479.12,BrandD,Running Shoes,91,760,South Branch
SKU41931,Clothing,800.4,BrandE,Blender,98,860,South Branch
SKU74929,Electronics,958.47,BrandA,Running Shoes,22,224,Secondary Warehouse
SKU54941,Clothing,125.91,BrandA,Smartphone,93,411,South Branch
SKU50478,Electronics,537.5,BrandC,Running Shoes,55,166,North Branch
SKU10255,Automotive,720.39,BrandD,Laptop,88,636,Secondary Warehouse
SKU35874,Beauty,227.09,BrandB,Running Shoes,63,916,North Branch
SKU76841,Beauty,468.97,BrandC,Running Shoes,34,261,Central Depot
SKU42683,Kitchen,960.06,BrandD,Laptop,30,131,North Branch
SKU72780,Kitchen,365.39,BrandA,Blender,71,884,Central Depot
SKU77081,Kitchen,162.93,BrandE,Office Chair,43,449,Main Warehouse
SKU98642,Toys,230.05,BrandC,Gaming Console,12,390,South Branch
SKU51785,Clothing,140.86,BrandA,Desk Lamp,25,957,North Branch
SKU69823,Toys,152.38,BrandC,Headphones,67,654,Main Warehouse
SKU81133,Electronics,423.78,BrandD,Laptop,4,833,Main Warehouse
SKU90216,Sports,147.74,BrandC,Gaming Console,91,233,North Branch
SKU34685,Toys,550.81,BrandE,Smartphone,55,563,Secondary Warehouse
SKU55912,Clothing,783.97,BrandA,Desk Lamp,92,825,South Branch
SKU84023,Kitchen,733.17,BrandD,Running Shoes,4,400,South Branch
SKU35695,Clothing,81.49,BrandB,Office Chair,9,99,North Branch
SKU90687,Clothing,707.31,BrandD,Gaming Console,50,571,Central Depot
SKU84449,Clothing,579.46,BrandE,Smartphone,8,365,North Branch
SKU13706,Furniture,975.65,BrandA,Office Chair,79,556,Main Warehouse
SKU42598,Furniture,599.83,BrandB,Headphones,41,623,South Branch
SKU45251,Beauty,900.82,BrandC,Smartphone,95,404,Central Depot
SKU24251,Kitchen,291.81,BrandE,Laptop,67,346,Secondary Warehouse
SKU26587,Automotive,429.94,BrandE,Wireless Earbuds,38,522,North Branch
SKU97086,Furniture,308.47,BrandC,Wireless Earbuds,85,378,Main Warehouse
SKU90233,Automotive,933.93,BrandD,Laptop,6,26,Secondary Warehouse
SKU14096,Furniture,922.85,BrandE,Smartphone,32,141,Main Warehouse
SKU87336,Sports,232.45,BrandE,Tablet,64,938,Central Depot
SKU48799,Automotive,777.85,BrandB,Tablet,97,951,Main Warehouse
SKU49058,Furniture,932.32,BrandE,Laptop,41,795,North Branch
SKU43188,Sports,464.02,BrandD,Tablet,29,503,Main Warehouse
SKU83976,Electronics,530.37,BrandE,Wireless Earbuds,87,312,Main Warehouse
SKU63621,Beauty,610.09,BrandE,Office Chair,54,436,North Branch
SKU81519,Beauty,447,BrandA,Running Shoes,40,329,Central Depot
SKU35268,Sports,222.88,BrandC,Blender,91,84,Main Warehouse
SKU19664,Furniture,101.14,BrandB,Desk Lamp,88,492,Main Warehouse
SKU31537,Furniture,529.28,BrandB,Tablet,49,632,North Branch
SKU65083,Clothing,818.33,BrandA,Headphones,40,609,Secondary Warehouse
SKU90005,Kitchen,973.44,BrandE,Smartphone,96,759,Main Warehouse
SKU64442,Beauty,909.25,BrandC,Smartphone,88,579,Central Depot
SKU39664,Sports,48.71,BrandE,Laptop,42,949,Main Warehouse
SKU67057,Toys,535.87,BrandC,Blender,27,761,South Branch
SKU84259,Toys,413.18,BrandB,Blender,18,497,Main Warehouse
SKU74665,Kitchen,867.52,BrandE,Tablet,18,438,South Branch
SKU90542,Toys,482.74,BrandE,Smartphone,27,549,South Branch
SKU28898,Beauty,383.24,BrandC,Running Shoes,38,603,South Branch
SKU36135,Clothing,349.17,BrandD,Headphones,20,74,Central Depot
SKU62844,Electronics,380.12,BrandB,Tablet,77,505,South Branch
SKU86849,Sports,285.87,BrandE,Desk Lamp,31,538,North Branch
SKU68453,Kitchen,393.6,BrandC,Running Shoes,23,484,South Branch
SKU60953,Kitchen,58.2,BrandA,Desk Lamp,69,614,North Branch
SKU88068,Beauty,885.58,BrandE,Running Shoes,94,682,Central Depot
SKU76678,Clothing,195.31,BrandB,Office Chair,70,830,Main Warehouse
SKU79484,Sports,343.53,BrandA,Smartphone,91,843,South Branch
SKU27832,Electronics,957.66,BrandE,Wireless Earbuds,37,747,South Branch
SKU88953,Sports,324.61,BrandD,Tablet,91,70,Central Depot
SKU98469,Kitchen,10.94,BrandD,Headphones,32,580,North Branch
SKU59500,Furniture,743.38,BrandA,Smartphone,60,445,Central Depot
SKU48004,Clothing,949.59,BrandB,Blender,35,428,Secondary Warehouse
SKU98943,Clothing,280.83,BrandA,Tablet,75,224,North Branch
SKU27194,Furniture,703.94,BrandE,Gaming Console,34,846,Central Depot
SKU88950,Beauty,961.02,BrandB,Wireless Earbuds,87,626,Central Depot
SKU76442,Furniture,140.92,BrandA,Office Chair,24,941,Main Warehouse
SKU95535,Kitchen,509.91,BrandE,Smartphone,14,422,Central Depot
SKU85862,Beauty,478.71,BrandC,Smartphone,48,815,North Branch
SKU37825,Automotive,526.92,BrandC,Desk Lamp,100,769,South Branch
SKU60849,Beauty,194.15,BrandB,Wireless Earbuds,81,189,Central Depot
SKU60039,Sports,164.41,BrandD,Smartphone,2,426,Main Warehouse
SKU61172,Beauty,152.22,BrandE,Wireless Earbuds,15,923,Main Warehouse
SKU55862,Beauty,469.69,BrandC,Blender,92,832,Secondary Warehouse
SKU71757,Sports,588.34,BrandE,Smartphone,29,601,Main Warehouse
SKU29797,Furniture,327.46,BrandD,Desk Lamp,46,322,Secondary Warehouse
SKU66169,Automotive,572.52,BrandD,Wireless Earbuds,37,64,South Branch
SKU55966,Furniture,564.67,BrandA,Blender,43,344,North Branch
SKU60964,Furniture,259.47,BrandE,Tablet,42,504,North Branch
SKU46702,Kitchen,426,BrandA,Tablet,100,224,Central Depot
SKU99652,Sports,871.74,BrandD,Office Chair,25,954,North Branch
SKU21252,Clothing,172.06,BrandC,Wireless Earbuds,76,987,Central Depot
SKU33655,Sports,485.93,BrandE,Running Shoes,4,289,Main Warehouse
SKU73304,Furniture,543.86,BrandB,Laptop,48,952,Central Depot
SKU80939,Clothing,203.68,BrandD,Smartphone,35,816,Central Depot
SKU44886,Beauty,486.45,BrandB,Running Shoes,56,187,Secondary Warehouse
SKU29875,Toys,993.47,BrandD,Gaming Console,65,421,North Branch
SKU57956,Furniture,462.6,BrandA,Headphones,88,843,Central Depot
SKU32479,Toys,430.15,BrandC,Desk Lamp,12,639,Secondary Warehouse
SKU55926,Sports,986.73,BrandD,Desk Lamp,79,393,Main Warehouse
SKU83697,Electronics,935.11,BrandE,Tablet,68,209,Secondary Warehouse
SKU91031,Beauty,706.04,BrandE,Blender,55,726,Main Warehouse
SKU50838,Kitchen,850.62,BrandC,Headphones,50,633,South Branch
SKU85211,Automotive,736.37,BrandE,Running Shoes,89,515,North Branch
SKU29516,Automotive,646.11,BrandA,Smartphone,86,21,Central Depot
SKU67593,Kitchen,145.68,BrandC,Laptop,1,858,Main Warehouse
