id,key,value
107,MembershipLevel,Bronze
108,MembershipLevel,Silver
109,DiscountApplied,30%
110,DiscountApplied,30%
111,MembershipLevel,Gold
112,PriorityCustomer,Yes
113,SpecialOffer,WinterSale2024
114,MembershipLevel,Gold
115,MembershipLevel,Bronze
116,DiscountApplied,10%
117,DiscountApplied,40%
118,MembershipLevel,Bronze
119,SpecialOffer,WinterSale2024
120,MembershipLevel,Platinum
121,MembershipLevel,Silver
122,PriorityCustomer,No
123,SpecialOffer,WinterSale2024
124,PriorityCustomer,Yes
125,SpecialOffer,HolidaySale2024
126,MembershipLevel,Platinum
127,MembershipLevel,Gold
128,MembershipLevel,Bronze
129,SpecialOffer,SpringSale2024
130,PriorityCustomer,No
131,SpecialOffer,SpringSale2024
132,DiscountApplied,10%
133,DiscountApplied,30%
134,MembershipLevel,Platinum
135,PriorityCustomer,Yes
136,PriorityCustomer,No
137,MembershipLevel,Bronze
138,SpecialOffer,SpringSale2024
139,DiscountApplied,20%
140,DiscountApplied,30%
141,PriorityCustomer,Yes
142,MembershipLevel,Bronze
143,MembershipLevel,Gold
144,MembershipLevel,Platinum
145,MembershipLevel,Gold
146,MembershipLevel,Platinum
147,SpecialOffer,SpringSale2024
148,PriorityCustomer,No
149,MembershipLevel,Bronze
150,DiscountApplied,10%
151,DiscountApplied,20%
152,MembershipLevel,Gold
153,SpecialOffer,SummerSale2024
154,SpecialOffer,SummerSale2024
155,SpecialOffer,SpringSale2024
156,MembershipLevel,Bronze
157,MembershipLevel,Gold
158,PriorityCustomer,Yes
159,SpecialOffer,SummerSale2024
160,MembershipLevel,Silver
161,PriorityCustomer,Yes
162,MembershipLevel,Gold
163,MembershipLevel,Platinum
164,SpecialOffer,SummerSale2024
165,MembershipLevel,Silver
166,PriorityCustomer,No
167,SpecialOffer,SpringSale2024
168,MembershipLevel,Silver
169,MembershipLevel,Bronze
170,SpecialOffer,HolidaySale2024
171,MembershipLevel,Gold
172,PriorityCustomer,No
173,DiscountApplied,20%
174,DiscountApplied,20%
175,MembershipLevel,Platinum
176,SpecialOffer,WinterSale2024
177,SpecialOffer,HolidaySale2024
178,MembershipLevel,Bronze
179,PriorityCustomer,Yes
180,DiscountApplied,20%
181,DiscountApplied,20%
182,DiscountApplied,20%
183,MembershipLevel,Silver
184,MembershipLevel,Gold
185,DiscountApplied,40%
186,PriorityCustomer,Yes
187,PriorityCustomer,Yes
188,DiscountApplied,10%
189,DiscountApplied,10%
190,PriorityCustomer,Yes
191,PriorityCustomer,Yes
192,DiscountApplied,30%
193,SpecialOffer,HolidaySale2024
194,PriorityCustomer,No
195,PriorityCustomer,Yes
196,MembershipLevel,Platinum
197,PriorityCustomer,Yes
198,DiscountApplied,30%
199,MembershipLevel,Silver
200,SpecialOffer,SpringSale2024
201,PriorityCustomer,Yes
202,PriorityCustomer,Yes
203,SpecialOffer,WinterSale2024
204,DiscountApplied,10%
205,PriorityCustomer,Yes
206,PriorityCustomer,No
207,PriorityCustomer,Yes
208,MembershipLevel,Silver
209,DiscountApplied,10%
210,DiscountApplied,20%
211,SpecialOffer,HolidaySale2024
212,DiscountApplied,20%
213,PriorityCustomer,Yes
214,MembershipLevel,Bronze
215,DiscountApplied,10%
216,MembershipLevel,Platinum
217,PriorityCustomer,No
218,MembershipLevel,Bronze
219,SpecialOffer,WinterSale2024
220,MembershipLevel,Gold
221,DiscountApplied,10%
222,SpecialOffer,SpringSale2024
223,MembershipLevel,Platinum
224,MembershipLevel,Gold
225,MembershipLevel,Gold
226,DiscountApplied,40%
227,DiscountApplied,10%
228,PriorityCustomer,Yes
229,DiscountApplied,20%
230,SpecialOffer,SummerSale2024
231,PriorityCustomer,No
232,DiscountApplied,10%
233,PriorityCustomer,No
234,DiscountApplied,20%
235,PriorityCustomer,Yes
236,SpecialOffer,HolidaySale2024
237,DiscountApplied,10%
238,DiscountApplied,20%
239,MembershipLevel,Bronze
240,PriorityCustomer,Yes
241,SpecialOffer,SpringSale2024
242,PriorityCustomer,Yes
243,PriorityCustomer,Yes
244,DiscountApplied,20%
245,SpecialOffer,WinterSale2024
246,MembershipLevel,Platinum
247,SpecialOffer,WinterSale2024
248,MembershipLevel,Silver
249,PriorityCustomer,Yes
250,MembershipLevel,Gold
251,DiscountApplied,30%
252,DiscountApplied,20%
253,DiscountApplied,40%
254,DiscountApplied,40%
255,DiscountApplied,30%
256,MembershipLevel,Silver
257,MembershipLevel,Bronze
258,PriorityCustomer,Yes
259,MembershipLevel,Platinum
260,PriorityCustomer,Yes
261,MembershipLevel,Bronze
262,PriorityCustomer,No
263,SpecialOffer,SpringSale2024
264,SpecialOffer,SummerSale2024
265,MembershipLevel,Platinum
266,MembershipLevel,Gold
267,PriorityCustomer,No
268,PriorityCustomer,Yes
269,MembershipLevel,Silver
270,PriorityCustomer,Yes
271,SpecialOffer,SummerSale2024
272,MembershipLevel,Gold
273,DiscountApplied,40%
274,PriorityCustomer,Yes
275,SpecialOffer,SpringSale2024
276,MembershipLevel,Bronze
277,MembershipLevel,Gold
278,MembershipLevel,Silver
279,SpecialOffer,WinterSale2024
280,MembershipLevel,Bronze
281,PriorityCustomer,Yes
282,DiscountApplied,30%
283,PriorityCustomer,No
284,MembershipLevel,Platinum
285,PriorityCustomer,No
286,MembershipLevel,Platinum
287,SpecialOffer,WinterSale2024
288,DiscountApplied,20%
289,PriorityCustomer,Yes
290,DiscountApplied,10%
291,MembershipLevel,Gold
292,MembershipLevel,Bronze
293,SpecialOffer,WinterSale2024
294,DiscountApplied,10%
295,MembershipLevel,Gold
296,SpecialOffer,SpringSale2024
297,PriorityCustomer,No
298,PriorityCustomer,No
299,DiscountApplied,20%
300,PriorityCustomer,Yes
301,PriorityCustomer,Yes
302,MembershipLevel,Silver
303,PriorityCustomer,Yes
304,SpecialOffer,SpringSale2024
305,MembershipLevel,Bronze
306,SpecialOffer,HolidaySale2024
307,DiscountApplied,30%
308,PriorityCustomer,No
309,PriorityCustomer,No
310,PriorityCustomer,Yes
311,SpecialOffer,WinterSale2024
312,DiscountApplied,30%
313,PriorityCustomer,No
314,MembershipLevel,Silver
315,DiscountApplied,30%
316,PriorityCustomer,Yes
317,MembershipLevel,Gold
318,DiscountApplied,10%
319,SpecialOffer,HolidaySale2024
320,PriorityCustomer,Yes
321,MembershipLevel,Platinum
322,SpecialOffer,WinterSale2024
323,MembershipLevel,Bronze
324,PriorityCustomer,No
325,SpecialOffer,WinterSale2024
326,MembershipLevel,Gold
327,SpecialOffer,HolidaySale2024
328,PriorityCustomer,Yes
329,MembershipLevel,Gold
330,DiscountApplied,10%
331,PriorityCustomer,Yes
332,PriorityCustomer,Yes
333,MembershipLevel,Gold
334,MembershipLevel,Silver
335,PriorityCustomer,Yes
336,SpecialOffer,WinterSale2024
337,DiscountApplied,40%
338,MembershipLevel,Gold
339,PriorityCustomer,No
340,PriorityCustomer,Yes
341,DiscountApplied,10%
342,MembershipLevel,Gold
343,DiscountApplied,20%
344,SpecialOffer,SpringSale2024
345,SpecialOffer,WinterSale2024
346,MembershipLevel,Gold
347,SpecialOffer,SpringSale2024
348,SpecialOffer,HolidaySale2024
349,SpecialOffer,WinterSale2024
350,MembershipLevel,Gold
351,SpecialOffer,SummerSale2024
352,DiscountApplied,10%
353,DiscountApplied,40%
354,MembershipLevel,Silver
355,MembershipLevel,Silver
356,SpecialOffer,HolidaySale2024
357,MembershipLevel,Silver
358,MembershipLevel,Platinum
359,PriorityCustomer,No
360,SpecialOffer,HolidaySale2024
361,PriorityCustomer,Yes
362,PriorityCustomer,Yes
363,SpecialOffer,HolidaySale2024
364,MembershipLevel,Silver
365,PriorityCustomer,No
366,DiscountApplied,30%
367,PriorityCustomer,No
368,MembershipLevel,Platinum
369,MembershipLevel,Platinum
370,PriorityCustomer,Yes
371,PriorityCustomer,No
372,PriorityCustomer,Yes
373,MembershipLevel,Gold
374,MembershipLevel,Gold
375,DiscountApplied,30%
376,SpecialOffer,SpringSale2024
377,MembershipLevel,Gold
378,MembershipLevel,Bronze
379,DiscountApplied,30%
380,PriorityCustomer,No
381,SpecialOffer,SummerSale2024
382,DiscountApplied,10%
383,DiscountApplied,40%
384,SpecialOffer,SpringSale2024
385,PriorityCustomer,Yes
386,MembershipLevel,Platinum
387,DiscountApplied,20%
388,PriorityCustomer,Yes
389,SpecialOffer,HolidaySale2024
390,SpecialOffer,SummerSale2024
391,DiscountApplied,30%
392,MembershipLevel,Gold
393,DiscountApplied,40%
394,MembershipLevel,Silver
395,SpecialOffer,HolidaySale2024
396,DiscountApplied,40%
397,PriorityCustomer,No
398,DiscountApplied,20%
399,SpecialOffer,SpringSale2024
400,MembershipLevel,Gold
401,PriorityCustomer,No
402,PriorityCustomer,No
403,DiscountApplied,40%
404,MembershipLevel,Silver
405,MembershipLevel,Gold
406,MembershipLevel,Gold
407,SpecialOffer,HolidaySale2024
408,DiscountApplied,30%
409,MembershipLevel,Silver
410,SpecialOffer,HolidaySale2024
411,DiscountApplied,40%
412,MembershipLevel,Gold
413,DiscountApplied,20%
414,DiscountApplied,10%
415,SpecialOffer,HolidaySale2024
416,SpecialOffer,WinterSale2024
417,MembershipLevel,Bronze
418,PriorityCustomer,Yes
419,DiscountApplied,20%
420,PriorityCustomer,Yes
421,MembershipLevel,Platinum
422,MembershipLevel,Platinum
423,MembershipLevel,Bronze
424,MembershipLevel,Platinum
425,DiscountApplied,20%
426,PriorityCustomer,Yes
427,PriorityCustomer,Yes
428,PriorityCustomer,No
429,PriorityCustomer,Yes
430,SpecialOffer,SpringSale2024
431,PriorityCustomer,No
432,MembershipLevel,Silver
433,SpecialOffer,WinterSale2024
434,SpecialOffer,SpringSale2024
435,SpecialOffer,SpringSale2024
436,SpecialOffer,SpringSale2024
437,SpecialOffer,HolidaySale2024
438,MembershipLevel,Gold
439,DiscountApplied,30%
440,PriorityCustomer,Yes
441,SpecialOffer,SummerSale2024
442,DiscountApplied,40%
443,SpecialOffer,SpringSale2024
444,PriorityCustomer,Yes
445,PriorityCustomer,No
446,PriorityCustomer,No
447,SpecialOffer,HolidaySale2024
448,PriorityCustomer,Yes
449,SpecialOffer,SummerSale2024
450,DiscountApplied,40%
451,SpecialOffer,WinterSale2024
452,DiscountApplied,40%
453,DiscountApplied,10%
454,PriorityCustomer,No
455,PriorityCustomer,Yes
456,DiscountApplied,40%
457,MembershipLevel,Platinum
458,DiscountApplied,30%
459,MembershipLevel,Silver
460,DiscountApplied,20%
461,PriorityCustomer,No
462,MembershipLevel,Silver
463,PriorityCustomer,No
464,PriorityCustomer,No
465,DiscountApplied,30%
466,SpecialOffer,WinterSale2024
467,SpecialOffer,WinterSale2024
468,DiscountApplied,20%
469,PriorityCustomer,No
470,PriorityCustomer,Yes
471,SpecialOffer,SummerSale2024
472,PriorityCustomer,No
473,MembershipLevel,Gold
474,PriorityCustomer,No
475,MembershipLevel,Gold
476,DiscountApplied,10%
477,SpecialOffer,HolidaySale2024
478,SpecialOffer,SpringSale2024
479,SpecialOffer,SpringSale2024
480,PriorityCustomer,Yes
481,SpecialOffer,SummerSale2024
482,PriorityCustomer,No
483,PriorityCustomer,Yes
484,MembershipLevel,Platinum
485,MembershipLevel,Gold
486,SpecialOffer,SpringSale2024
487,PriorityCustomer,Yes
488,SpecialOffer,SummerSale2024
489,DiscountApplied,40%
490,SpecialOffer,SummerSale2024
491,DiscountApplied,20%
492,DiscountApplied,30%
493,DiscountApplied,30%
494,PriorityCustomer,Yes
495,PriorityCustomer,No
496,MembershipLevel,Platinum
497,DiscountApplied,40%
498,DiscountApplied,30%
499,DiscountApplied,10%
500,DiscountApplied,20%
501,PriorityCustomer,No
502,DiscountApplied,30%
503,DiscountApplied,20%
504,DiscountApplied,40%
505,SpecialOffer,SummerSale2024
506,DiscountApplied,40%
507,PriorityCustomer,No
508,MembershipLevel,Bronze
509,PriorityCustomer,No
510,PriorityCustomer,No
511,SpecialOffer,SpringSale2024
512,MembershipLevel,Bronze
513,DiscountApplied,10%
514,SpecialOffer,HolidaySale2024
515,DiscountApplied,20%
516,MembershipLevel,Platinum
517,DiscountApplied,10%
518,SpecialOffer,HolidaySale2024
519,DiscountApplied,40%
520,DiscountApplied,20%
521,SpecialOffer,WinterSale2024
522,MembershipLevel,Platinum
523,SpecialOffer,WinterSale2024
524,MembershipLevel,Silver
525,MembershipLevel,Bronze
526,SpecialOffer,HolidaySale2024
527,SpecialOffer,SummerSale2024
528,PriorityCustomer,Yes
529,DiscountApplied,30%
530,DiscountApplied,10%
531,SpecialOffer,SummerSale2024
532,DiscountApplied,10%
533,DiscountApplied,10%
534,PriorityCustomer,Yes
535,PriorityCustomer,Yes
536,SpecialOffer,SpringSale2024
537,MembershipLevel,Gold
538,DiscountApplied,10%
539,SpecialOffer,HolidaySale2024
540,SpecialOffer,SummerSale2024
541,PriorityCustomer,No
542,PriorityCustomer,No
543,SpecialOffer,SummerSale2024
544,PriorityCustomer,No
545,MembershipLevel,Platinum
546,MembershipLevel,Silver
547,MembershipLevel,Silver
548,SpecialOffer,WinterSale2024
549,MembershipLevel,Platinum
550,DiscountApplied,20%
551,DiscountApplied,30%
552,SpecialOffer,SpringSale2024
553,DiscountApplied,20%
554,DiscountApplied,10%
555,MembershipLevel,Platinum
556,PriorityCustomer,Yes
557,SpecialOffer,SpringSale2024
558,MembershipLevel,Platinum
559,MembershipLevel,Gold
560,DiscountApplied,30%
561,DiscountApplied,20%
562,DiscountApplied,20%
563,SpecialOffer,SummerSale2024
564,PriorityCustomer,Yes
565,DiscountApplied,30%
566,PriorityCustomer,No
567,DiscountApplied,20%
568,PriorityCustomer,Yes
569,MembershipLevel,Gold
570,MembershipLevel,Gold
571,MembershipLevel,Platinum
572,DiscountApplied,10%
573,SpecialOffer,WinterSale2024
574,PriorityCustomer,Yes
575,SpecialOffer,HolidaySale2024
576,SpecialOffer,WinterSale2024
577,DiscountApplied,40%
578,DiscountApplied,20%
579,SpecialOffer,SummerSale2024
580,MembershipLevel,Silver
581,MembershipLevel,Bronze
582,MembershipLevel,Platinum
583,SpecialOffer,SpringSale2024
584,MembershipLevel,Gold
585,PriorityCustomer,No
586,PriorityCustomer,Yes
587,DiscountApplied,10%
588,DiscountApplied,40%
589,PriorityCustomer,No
590,PriorityCustomer,No
591,MembershipLevel,Gold
592,PriorityCustomer,No
593,PriorityCustomer,Yes
594,MembershipLevel,Platinum
595,SpecialOffer,SpringSale2024
596,SpecialOffer,SummerSale2024
597,MembershipLevel,Platinum
598,DiscountApplied,40%
599,SpecialOffer,WinterSale2024
600,PriorityCustomer,Yes
601,MembershipLevel,Silver
602,MembershipLevel,Bronze
603,MembershipLevel,Silver
604,PriorityCustomer,Yes
605,DiscountApplied,40%
606,DiscountApplied,40%
607,PriorityCustomer,Yes
608,PriorityCustomer,No
609,DiscountApplied,30%
610,PriorityCustomer,No
611,DiscountApplied,10%
612,MembershipLevel,Gold
613,MembershipLevel,Platinum
614,MembershipLevel,Silver
615,PriorityCustomer,Yes
616,MembershipLevel,Silver
617,SpecialOffer,SummerSale2024
618,MembershipLevel,Gold
619,MembershipLevel,Bronze
620,PriorityCustomer,Yes
621,SpecialOffer,SummerSale2024
622,PriorityCustomer,Yes
623,MembershipLevel,Platinum
624,PriorityCustomer,Yes
625,PriorityCustomer,Yes
626,PriorityCustomer,No
627,SpecialOffer,WinterSale2024
628,MembershipLevel,Platinum
629,SpecialOffer,WinterSale2024
630,MembershipLevel,Gold
631,MembershipLevel,Platinum
632,MembershipLevel,Gold
633,MembershipLevel,Bronze
634,MembershipLevel,Silver
635,DiscountApplied,10%
636,PriorityCustomer,No
637,DiscountApplied,10%
638,SpecialOffer,WinterSale2024
639,MembershipLevel,Silver
640,PriorityCustomer,Yes
641,SpecialOffer,WinterSale2024
642,SpecialOffer,HolidaySale2024
643,PriorityCustomer,Yes
644,DiscountApplied,30%
645,PriorityCustomer,No
646,SpecialOffer,SpringSale2024
647,SpecialOffer,SpringSale2024
648,SpecialOffer,SpringSale2024
649,DiscountApplied,20%
650,DiscountApplied,40%
651,MembershipLevel,Silver
652,PriorityCustomer,No
653,PriorityCustomer,No
654,SpecialOffer,SummerSale2024
655,SpecialOffer,WinterSale2024
656,PriorityCustomer,Yes
657,DiscountApplied,20%
658,DiscountApplied,30%
659,PriorityCustomer,Yes
660,DiscountApplied,20%
661,MembershipLevel,Gold
662,DiscountApplied,40%
663,MembershipLevel,Platinum
664,SpecialOffer,WinterSale2024
665,DiscountApplied,10%
666,DiscountApplied,20%
667,MembershipLevel,Bronze
668,PriorityCustomer,Yes
669,PriorityCustomer,No
670,PriorityCustomer,No
671,SpecialOffer,HolidaySale2024
672,DiscountApplied,40%
673,SpecialOffer,SpringSale2024
674,PriorityCustomer,No
675,DiscountApplied,20%
676,SpecialOffer,SpringSale2024
677,MembershipLevel,Silver
678,PriorityCustomer,Yes
679,PriorityCustomer,No
680,SpecialOffer,SpringSale2024
681,SpecialOffer,WinterSale2024
682,MembershipLevel,Gold
683,MembershipLevel,Silver
684,DiscountApplied,20%
685,DiscountApplied,40%
686,PriorityCustomer,No
687,SpecialOffer,HolidaySale2024
688,MembershipLevel,Gold
689,SpecialOffer,SpringSale2024
690,DiscountApplied,40%
691,MembershipLevel,Platinum
692,MembershipLevel,Gold
693,SpecialOffer,HolidaySale2024
694,MembershipLevel,Gold
695,MembershipLevel,Silver
696,DiscountApplied,10%
697,SpecialOffer,HolidaySale2024
698,PriorityCustomer,Yes
699,MembershipLevel,Silver
700,PriorityCustomer,No
701,SpecialOffer,SummerSale2024
702,PriorityCustomer,Yes
703,MembershipLevel,Bronze
704,DiscountApplied,40%
705,PriorityCustomer,Yes
706,SpecialOffer,SummerSale2024
707,SpecialOffer,HolidaySale2024
708,MembershipLevel,Bronze
709,PriorityCustomer,Yes
710,PriorityCustomer,No
711,MembershipLevel,Bronze
712,PriorityCustomer,Yes
713,MembershipLevel,Silver
714,PriorityCustomer,Yes
715,DiscountApplied,40%
716,MembershipLevel,Silver
717,SpecialOffer,WinterSale2024
718,DiscountApplied,20%
719,MembershipLevel,Silver
720,PriorityCustomer,No
721,DiscountApplied,10%
722,SpecialOffer,SpringSale2024
723,DiscountApplied,10%
724,PriorityCustomer,Yes
725,SpecialOffer,SpringSale2024
726,SpecialOffer,SummerSale2024
727,PriorityCustomer,Yes
728,MembershipLevel,Bronze
729,PriorityCustomer,Yes
730,PriorityCustomer,No
731,SpecialOffer,SummerSale2024
732,MembershipLevel,Gold
733,DiscountApplied,20%
734,SpecialOffer,HolidaySale2024
735,SpecialOffer,SummerSale2024
736,MembershipLevel,Silver
737,MembershipLevel,Platinum
738,DiscountApplied,30%
739,DiscountApplied,10%
740,DiscountApplied,20%
741,SpecialOffer,WinterSale2024
742,PriorityCustomer,Yes
743,DiscountApplied,40%
744,MembershipLevel,Silver
745,MembershipLevel,Gold
746,SpecialOffer,SummerSale2024
747,PriorityCustomer,Yes
748,MembershipLevel,Platinum
749,DiscountApplied,20%
750,DiscountApplied,40%
751,PriorityCustomer,No
752,MembershipLevel,Gold
753,DiscountApplied,10%
754,MembershipLevel,Bronze
755,MembershipLevel,Gold
756,MembershipLevel,Bronze
757,MembershipLevel,Gold
758,PriorityCustomer,Yes
759,MembershipLevel,Silver
760,PriorityCustomer,No
761,DiscountApplied,40%
762,DiscountApplied,40%
763,DiscountApplied,10%
764,MembershipLevel,Silver
765,MembershipLevel,Platinum
766,MembershipLevel,Bronze
767,DiscountApplied,30%
768,SpecialOffer,HolidaySale2024
769,MembershipLevel,Gold
770,PriorityCustomer,No
771,DiscountApplied,20%
772,SpecialOffer,SummerSale2024
773,PriorityCustomer,Yes
774,SpecialOffer,SpringSale2024
775,MembershipLevel,Silver
776,DiscountApplied,40%
777,PriorityCustomer,Yes
778,MembershipLevel,Gold
779,SpecialOffer,HolidaySale2024
780,MembershipLevel,Silver
781,SpecialOffer,SpringSale2024
782,DiscountApplied,20%
783,PriorityCustomer,Yes
784,DiscountApplied,30%
785,PriorityCustomer,No
786,DiscountApplied,30%
787,PriorityCustomer,Yes
788,DiscountApplied,30%
789,DiscountApplied,10%
790,PriorityCustomer,Yes
791,DiscountApplied,30%
792,MembershipLevel,Gold
793,MembershipLevel,Platinum
794,SpecialOffer,WinterSale2024
795,MembershipLevel,Platinum
796,DiscountApplied,30%
797,SpecialOffer,HolidaySale2024
798,DiscountApplied,30%
799,DiscountApplied,40%
800,DiscountApplied,20%
801,PriorityCustomer,No
802,PriorityCustomer,Yes
803,SpecialOffer,SpringSale2024
804,PriorityCustomer,No
805,SpecialOffer,WinterSale2024
806,SpecialOffer,HolidaySale2024
807,PriorityCustomer,No
808,MembershipLevel,Gold
809,PriorityCustomer,No
810,PriorityCustomer,No
811,PriorityCustomer,Yes
812,MembershipLevel,Platinum
813,DiscountApplied,40%
814,DiscountApplied,40%
815,DiscountApplied,20%
816,DiscountApplied,10%
817,PriorityCustomer,Yes
818,PriorityCustomer,No
819,MembershipLevel,Gold
820,MembershipLevel,Bronze
821,DiscountApplied,30%
822,SpecialOffer,SummerSale2024
823,DiscountApplied,10%
824,MembershipLevel,Platinum
825,DiscountApplied,30%
826,MembershipLevel,Platinum
827,MembershipLevel,Platinum
828,PriorityCustomer,Yes
829,MembershipLevel,Bronze
830,DiscountApplied,10%
831,SpecialOffer,WinterSale2024
832,PriorityCustomer,No
833,SpecialOffer,WinterSale2024
834,PriorityCustomer,Yes
835,DiscountApplied,30%
836,DiscountApplied,10%
837,DiscountApplied,10%
838,SpecialOffer,HolidaySale2024
839,DiscountApplied,40%
840,PriorityCustomer,Yes
841,SpecialOffer,SpringSale2024
842,DiscountApplied,10%
843,SpecialOffer,SpringSale2024
844,MembershipLevel,Bronze
845,MembershipLevel,Gold
846,DiscountApplied,10%
847,MembershipLevel,Platinum
848,PriorityCustomer,Yes
849,MembershipLevel,Platinum
850,SpecialOffer,SpringSale2024
851,MembershipLevel,Platinum
852,DiscountApplied,40%
853,PriorityCustomer,Yes
854,DiscountApplied,20%
855,MembershipLevel,Bronze
856,PriorityCustomer,No
857,MembershipLevel,Silver
858,SpecialOffer,HolidaySale2024
859,DiscountApplied,20%
860,MembershipLevel,Gold
861,MembershipLevel,Gold
862,SpecialOffer,SummerSale2024
863,SpecialOffer,WinterSale2024
864,SpecialOffer,SpringSale2024
865,DiscountApplied,10%
866,MembershipLevel,Gold
867,DiscountApplied,20%
868,MembershipLevel,Silver
869,MembershipLevel,Gold
870,SpecialOffer,SummerSale2024
871,SpecialOffer,SpringSale2024
872,DiscountApplied,30%
873,PriorityCustomer,Yes
874,MembershipLevel,Silver
875,PriorityCustomer,Yes
876,PriorityCustomer,No
877,MembershipLevel,Platinum
878,PriorityCustomer,No
879,PriorityCustomer,Yes
880,SpecialOffer,WinterSale2024
881,DiscountApplied,30%
882,DiscountApplied,30%
883,DiscountApplied,40%
884,MembershipLevel,Silver
885,DiscountApplied,30%
886,DiscountApplied,40%
887,MembershipLevel,Silver
888,DiscountApplied,40%
889,PriorityCustomer,No
890,PriorityCustomer,No
891,PriorityCustomer,No
892,DiscountApplied,10%
893,MembershipLevel,Silver
894,PriorityCustomer,Yes
895,DiscountApplied,20%
896,MembershipLevel,Platinum
897,DiscountApplied,20%
898,DiscountApplied,10%
899,DiscountApplied,30%
900,PriorityCustomer,Yes
901,PriorityCustomer,Yes
902,MembershipLevel,Silver
903,DiscountApplied,20%
904,MembershipLevel,Bronze
905,DiscountApplied,40%
906,SpecialOffer,WinterSale2024
907,MembershipLevel,Bronze
908,MembershipLevel,Bronze
909,PriorityCustomer,Yes
910,PriorityCustomer,Yes
911,MembershipLevel,Bronze
912,PriorityCustomer,No
913,MembershipLevel,Bronze
914,DiscountApplied,20%
915,MembershipLevel,Silver
916,MembershipLevel,Silver
917,MembershipLevel,Bronze
918,PriorityCustomer,Yes
919,SpecialOffer,SummerSale2024
920,DiscountApplied,30%
921,DiscountApplied,40%
922,DiscountApplied,20%
923,MembershipLevel,Gold
924,DiscountApplied,30%
925,DiscountApplied,10%
926,DiscountApplied,30%
927,DiscountApplied,10%
928,MembershipLevel,Gold
929,SpecialOffer,SummerSale2024
930,MembershipLevel,Bronze
931,DiscountApplied,30%
932,SpecialOffer,SpringSale2024
933,MembershipLevel,Bronze
934,SpecialOffer,WinterSale2024
935,PriorityCustomer,Yes
936,MembershipLevel,Gold
937,SpecialOffer,SpringSale2024
938,PriorityCustomer,Yes
939,DiscountApplied,20%
940,PriorityCustomer,Yes
941,PriorityCustomer,No
942,MembershipLevel,Bronze
943,MembershipLevel,Silver
944,DiscountApplied,40%
